충전소명,위도,경도
대방성원 아파트,37.50973174,126.9259167
봉천건영6차아파트,37.4771035,126.9519064
관악동부센트레빌 아파트,37.48729859,126.950154
상도파크자이,37.50553,126.938083
관악벽산블루밍,37.490119,126.944492
상도대림 아파트,37.49318524,126.953262
신대방현대 아파트,37.494725,126.912038
관악동작 견인차량 보관소,37.48469688,126.9040653
신림서초 아파트,37.464022,126.9322466
신림동부센트레빌,37.47295325,126.9160635
보라매삼성 아파트,37.49339228,126.927819
사당롯데캐슬샤인,37.49096018,126.9715998
힐스테이트상도프레스티지,37.49475091,126.9482719
대우신림2차푸르지오,37.46106615,126.9198746
동작상떼빌 아파트,37.48789955,126.9069377
신림쌍용 아파트,37.47282788,126.9121748
청광 아파트,37.46769703,126.9420383
래미안상도3차아파트,37.49815,126.953982
상도래미안1차 아파트,37.506025,126.935483
신동아 아파트,37.46433098,126.9404753
보라매아카데미타워 아파트,37.49127438,126.924094
은천2단지 아파트,37.47066395,126.9645625
이수힐스테이트,37.49463472,126.9819658
서울시여성가족재단,37.5111456,126.926809
서울대입구아이원,37.47831162,126.9453754
구로아트밸리 지하2층,37.49694727,126.889556
신구로자이 아파트,37.49992886,126.8844508
메이퀸 웨딩홀,37.47264941,126.8975386
구로리공원,37.49052,126.89152
구로중앙하이츠아파트,37.49877,126.88051
하늘공원 공영주차장,37.48724,126.88053
지식산업센터(대륭테크노타운2차),37.468697,126.884634
고척파크푸르지오,37.50768067,126.858386
구로아트밸리 지하1층,37.49694727,126.889556
신도림7차e-편한세상아파트,37.508273,126.882458
천왕연지타운1단지,37.48642952,126.8400162
오류푸르지오,37.49168,126.8415847
항동하버라인3단지,37.47964958,126.8242612
개봉대상아파트,37.48227983,126.8498977
근상프리즘아파트,37.49829344,126.8754912
지식산업센터(동일테크노타운8차),37.469394,126.89343
천왕이펜하우스5단지,37.48072723,126.842163
구로구청 주차장,37.49494923,126.8874891
신도림동아1차 아파트,37.510895,126.88338
구로성호메이플라워,37.49690355,126.8913842
고척LIG리가 아파트,37.50569765,126.8615056
구로4동 주택가 공동,37.48951559,126.8868979
구로삼성래미안,37.48750664,126.8920287
동아한신아파트,37.50094935,126.8653991
고척벽산블루밍 아파트,37.49446095,126.8643885
고척스카이돔,37.49852664,126.8662742
남서울힐스테이트아파트,37.446617,126.90216
천왕이펜하우스4단지 아파트,37.4808017,126.8385946
개봉영화 아파트,37.49639327,126.860228
경남1차 아파트,37.50581507,126.8625267
천왕이펜하우스2단지,37.48523036,126.8380876
금천구청 지상 주차장,37.45724975,126.8959547
고척근린공원 지하주차장,37.503986,126.852453
롯데 아파트,37.50312676,126.8837673
신도림 쌍용플래티넘노블,37.50077362,126.8916534
금나래체육문화센타,37.45898889,126.8961726
당산대우 아파트,37.52112883,126.8933321
영등포아트자이 아파트,37.51039395,126.9001778
서울영등포우체국,37.52962615,126.8949566
영등포구민회관,37.52614259,126.9000284
영등포구청 환승공영주차장,37.5245,126.8956
문래힐스테이트,37.51872,126.89107
양평한신아파트,37.54007119,126.8920209
바다마을아파트,37.50276,126.91541
국회의사당,37.53269669,126.9142124
당산근린지하공영주차장,37.52551222,126.8957694
남서울직할,37.52729199,126.9298532
문래금호어울림 아파트,37.51917735,126.8975089
문래자이아파트,37.51627692,126.8973919
롯데캐슬엠파이어,37.52024136,126.9264086
문래건영아파트,37.51827644,126.8925387
대림어린이공원 공영주차장,37.49108444,126.9033538
신길뉴타운한화꿈에그린,37.50351074,126.9097096
대림운동장 공영주차장,37.49906852,126.8942003
영등포레미안 아파트,37.50494065,126.9074018
남서울직할(영등포)지사,37.51990363,126.8935148
대림동현대3차 아파트,37.50552561,126.895752
신길삼성래미안,37.50513979,126.9145979
신길경남 아파트,37.515558,126.918256
보라매벚꽃마을아파트,37.49592104,126.9101936
"여의도KBS (본관,신관)",37.52517219,126.9172304
한국타이어 서초점,37.487733,127.026137
잠원동방음언덕형 공영주차장,37.516,127.01621
한전 서초지사,37.48533185,127.0272549
양재하이브랜드,37.46336708,127.0370159
양재리본타워2단지아파트,37.46480903,127.035923
서초아크빌,37.49068178,127.0128454
신세계 강남점,37.50415249,127.0029179
국립 중앙도서관,37.4976202,127.0025218
반포동방음언덕형 공영주차장,37.50479068,127.0186203
방배롯데캐슬아르떼,37.48342825,126.9837639
구룡공원 공영주차장,37.47155755,127.0486723
태남빌딩 주차장,37.50820023,127.0036391
LH서초4단지 아파트,37.45822562,127.0241651
서초2차e편한세상아파트,37.48631223,127.009249
방배복개도로 제2지역 공영주차장,37.48240543,126.9825572
대한무역투자진흥공사,37.46521457,127.0446693
동산마을 공영주차장,37.47009089,127.0443089
래미안서초스위트 아파트,37.50209836,127.0198681
서초롯데캐슬프레지던트,37.49697351,127.019419
삼창골든빌리지 입주자대표회의,37.493953,126.997425
서초경남아너스빌201동,37.48381955,127.0141784
서초포레스타5단지,37.45114287,127.0576834
방배1차 e편한세상,37.48724783,126.999014
월드메르디앙 아파트,37.49019907,127.0104481
서울시립어린이병원,37.45571764,127.0688536
아크로리버파크,37.50625164,126.9926712
반포리체 아파트,37.50446722,127.0124542
서초동일하이빌,37.49157869,127.0083027
현대멤피스(B),37.49521398,126.9884317
서초더샵포레,37.45392177,127.0643311
LH서초5단지,37.45912995,127.0255398
서초지사,37.48560466,127.028077
방배동부센트레빌 아파트,37.49734573,126.988117
서초호반써밋아파트,37.45611532,127.0137843
남서울농협 하나로마트 우면점,37.45685749,127.0158574
서초힐스 아파트,37.45760689,127.0175687
반포미도아파트,37.50115186,127.0086289
서초네이처힐6단지,37.46184725,127.0262574
방배3차e편한세상,37.49438715,126.9919893
서초네이처힐1단지,37.46362788,127.0205328
서초네이처힐7단지,37.46205505,127.0235786
서초롯데캐슬84,37.49260559,127.0184137
방배아이파크 아파트,37.49146357,126.984807
서초리젠 아파트,37.4843053,127.0196961
래미안서초7차 아파트,37.49238408,127.0175554
리첸시아방배,37.49727699,126.9857331
롯데캐슬헤론,37.49699575,126.9847245
현대멤피스(A),37.49464638,126.9888728
현대ESA아파트,37.49088602,127.0295128
방배롯데캐슬포레스트,37.49182668,126.9958727
예술의 전당,37.4798202,127.0120804
한국연구재단,37.46499775,127.0457095
영등포전력지사,37.517367,126.910236
고려대학교(자연과학),37.58358845,127.026351
한신휴아파트,37.595328,127.014314
효성네오인텔리안,37.638762,127.026932
보문하우스토리,37.584386,127.020844
돈암일신건영휴먼빌 아파트,37.600504,127.011848
현대백화점 미아점,37.608453,127.0287466
돈암현대,37.60393458,127.0285722
강북문화예술회관,37.6407909,127.0134276
래미안아트리지,37.60604271,127.063638
성북동아에코빌아파트,37.607443,127.046239
해모로아파트,37.626598,127.037899
강북성북지사,37.630923,127.024819
브라운스톤돈암아파트,37.597049,127.018558
국민대학교,37.610015,126.996915
돈암더샵아파트,37.597877,127.010327
고려대학교,37.588985,127.033897
정릉2차 e편한세상 아파트,37.600129,127.019378
대림 샹그레빌,37.596349,127.041207
미아한일유앤아이APT,37.614026,127.0365
석관두산 아파트,37.612336,127.069684
삼선푸르지오 아파트,37.58342,127.013815
동일하이빌뉴시티 아파트,37.604609,127.031071
꿈의숲대명루첸 아파트,37.620405,127.047524
미아동부센트레빌,37.613741,127.025894
정릉풍림아이원,37.618782,127.007279
래미안미아1차 아파트,37.625668,127.018992
삼선 SK뷰 아파트,37.58777,127.011914
삼선힐스테이트,37.58356609,127.0111404
종암삼성래미안,37.601396,127.029801
길음래미안3차,37.606454,127.022261
정릉e편한세상 아파트,37.614892,127.010221
금호어울림 센터힐 아파트,37.600602,127.022399
강북성북지사(공용),37.630923,127.024819
북서울꿈의숲,37.62154388,127.0412917
서울숲푸르지오 아파트,37.545144,127.022683
성수2차대우 아파트,37.54828,127.050422
서울숲SK V1 타워,37.54706269,127.0517144
강변테크노마트 주차장,37.53569971,127.0957648
뚝섬유수지 공영주차장,37.55060091,127.0414386
광장힐스테이트 아파트,37.543324,127.100043
자양10차현대홈타운,37.533397,127.070446
금호스포츠센터,37.54574461,127.025192
한양대학교,37.557023,127.047167
구의삼성쉐르빌상가,37.5399385,127.0946075
구의삼성쉐르빌아파트,37.53995404,127.0948847
센트라스 3획지,37.565621,127.025114
센트라스 6획지,37.565357,127.028545
e편한세상 금호파크힐스,37.554215,127.022719
광진구청 주차장,37.538279,127.082073
광진성동지사,37.567845,127.034026
서울 새활용플라자,37.558589,127.058496
성수동아이파크 아파트,37.546956,127.057287
장로회신학대학교,37.54945,127.104825
리버그린동아 아파트,37.55332,127.037354
금호자이1차,37.55235,127.023167
센트라스 1획지,37.565664,127.024945
자양2동유수지 공영주차장,37.52962,127.076967
광진하우스토리한강,37.530042,127.09034
더샵스타시티 아파트,37.537146,127.073404
센트라스 2획지,37.56663446,127.0241293
뚝도충전소,37.53631,127.069429
자양금강KCC 아파트,37.537348,127.074113
행당한진타운,37.555215,127.028245
서울숲M타워,37.54413884,127.0465723
쌍문염광 아파트,37.648687,127.026106
쌍문현대2차 아파트,37.659281,127.030473
노원우성아파트,37.657759,127.065054
중계우성3차아파트,37.652723,127.073245
공릉8단지청솔아파트,37.623112,127.086169
노원프레미어스엠코,37.618445,127.076387
대상타운현대아파트,37.664667,127.048718
공릉대동2차,37.626717,127.07025
공릉동현대성우 아파트,37.626604,127.077431
동신 아파트,37.628447,127.076946
월계우남 아파트,37.615847,127.067539
현대그린 아파트,37.646893,127.084574
중계삼성 아파트,37.648831,127.083529
상계동양 아파트,37.657129,127.064275
도깨비시장 공영주차장,37.66456947,127.033979
도봉구청,37.669174,127.047097
노원구청,37.653754,127.056952
상계신동아 아파트,37.667575,127.067875
공릉2단지라이프 아파트,37.630351,127.066663
창동주공18단지아파트,37.64652,127.0527
서울가든 아파트,37.686862,127.041
학여울청구 아파트,37.635571,127.061749
중계주공4단지 아파트,37.656063,127.076178
창동대우아파트,37.642224,127.037342
방학5단지 신동아 아파트,37.663214,127.028786
대주파크빌 아파트,37.621498,127.072176
방학금광포란재,37.664732,127.045172
창3동 주민센터,37.63805063,127.042926
한국원자력의학원,37.62839822,127.0822703
서울과학기술대학교,37.63300771,127.0775419
방학3동 주민센터,37.65910434,127.0280096
북서울시립미술관,37.64083935,127.0667835
상계주공15단지,37.669436,127.054247
창동한승미메이드 아파트,37.632965,127.04291
공릉대아2차 아파트,37.623156,127.071482
쌍문미라보아파트,37.655394,127.031444
상계주공16단지아파트,37.66878332,127.0537252
공릉비선아파트,37.625524,127.087995
창동한신 아파트,37.638969,127.041149
도봉서원 아파트,37.672821,127.048135
한일병원,37.645987,127.027378
