충전구분,충전소명,주소
완속,영등포레미안 아파트,서울특별시 영등포구 신길동 4945
완속,문래금호어울림 아파트,서울특별시 영등포구 문래동3가 97
급속,양평한신아파트,서울특별시 영등포구 양평동5가 76
완속,문래건영아파트,서울특별시 영등포구 문래동3가 93-1
완속,남서울직할,서울특별시 영등포구 여의도동 21
완속,남서울직할(영등포)지사,서울특별시 영등포구 문래동3가 80
급속,롯데캐슬엠파이어,서울특별시 영등포구 여의도동 의사당대로 127
급속,신길경남 아파트,서울특별시 영등포구 영등포로 351
급속,영등포레미안 아파트,서울특별시 영등포구 신길동 4945
급속,당산대우 아파트,서울특별시 영등포구 당산동2가 16-1
급속,영등포아트자이 아파트,서울특별시 영등포구 도림동 도영로 66
급속,대림동현대3차 아파트,서울특별시 영등포구 대림동 608-1
급속,당산근린지하공영주차장,서울특별시 영등포구 당산로27길 12 
급속,서울영등포우체국,서울특별시 영등포구 선유동2로 6 
급속,영등포구민회관,서울특별시 영등포구 국회대로 596 
급속,"여의도KBS (본관,신관)",서울 영등포구 여의공원로 13
완속,신정동일하이빌아파트1단지,서울특별시 양천구 신정로11길 20 
완속,방화5단지 아파트,서울특별시 강서구 방화동 금낭화로 287-19
완속,e편한세상염창,서울특별시 강서구 공항대로 583
완속,신정이펜하우스 2단지,서울특별시 양천구 신정이펜2로 55
완속,목동 현대하이페리온2아파트,서울특별시 양천구 목동 961
완속,부영그린타운2차,서울특별시 양천구 목동 908-28
완속,마곡힐스테이트,서울특별시 강서구 마곡동 725-1
급속,한국공항공사 서울,서울특별시 강서구 방화동 886
급속,서울에너지공사 주차장,서울특별시 양천구 목동 900
완속,마곡엠밸리3단지,서울특별시 강서구 마곡동 736
완속,방화동성아파트,서울특별시 강서구 방화동 금낭화로23길 8
완속,목동힐스테이트아파트,서울특별시 양천구 신정동 중앙로36길 15
완속,마곡수명산파크1단지,서울특별시 강서구 내발산동 742
완속,양천벽산블루밍 아파트,서울특별시 양천구 신월동 1026
급속,화곡초록 아파트,서울특별시 강서구 화곡동 1139
완속,마곡수명산파크3단지,서울특별시 강서구 내발산동 751
완속,마곡수명산파크8단지,서울특별시 강서구 수명로2길 108
완속,마곡엠밸리6단지,서울특별시 강서구 마곡동 743
완속,마곡엠밸리2단지,서울특별시 강서구 마곡동 마곡서1로 146
급속,강서양천지사,서울특별시 양천구 신정동 319-1
급속,마곡13단지 힐스테이트마스터,서울특별시 강서구 마곡동 748
