충전구분,충전소명,주소
완속,정릉풍림아이원,서울특별시 성북구 솔샘로25길 28
완속,고려대학교(자연과학),서울특별시 성북구 안암로 145
완속,돈암현대,서울특별시 성북구 정릉로 404
급속,석관두산 아파트,서울특별시 성북구 석관동 화랑로48길 16
완속,동일하이빌뉴시티 아파트,서울특별시 성북구 하월곡동 종암로 167
완속,래미안아트리지,서울특별시 성북구 돌곶이로8길 22 
급속,강북성북지사(공용),서울특별시 강북구 강북구 도봉로 242
완속,삼선푸르지오 아파트,서울특별시 성북구 보문로29다길 31 
완속,정릉2차 e편한세상 아파트,서울특별시 성북구 정릉동 북악산로 851
급속,고려대학교,서울특별시 성북구 안암로 145
완속,성북동아에코빌아파트,서울특별시 성북구 장월로1길 28
급속,정릉풍림아이원,서울특별시 성북구 솔샘로25길 28 
완속,삼선힐스테이트,서울특별시 성북구 삼선동2가 낙산길 243-15
완속,래미안미아1차 아파트,서울특별시 강북구 미아동 삼양로 256
완속,삼선 SK뷰 아파트,서울특별시 성북구 삼선교로16길 35 
완속,브라운스톤돈암아파트,서울특별시 성북구 북악산로 844
완속,꿈의숲대명루첸 아파트,서울특별시 성북구 장위동 월계로36길 27
급속,국민대학교,서울특별시 성북구 정릉동 861-1
급속,고려대학교(자연과학),서울특별시 성북구 안암로 145
급속,꿈의숲대명루첸 아파트,서울특별시 성북구 장위동 월계로36길 27
완속,금호어울림 센터힐 아파트,서울특별시 성북구 돈암동 동소문로34길 73
급속,브라운스톤돈암아파트,서울특별시 성북구 북악산로 844
급속,미아동부센트레빌,서울특별시 강북구 미아동 숭인로7가길 37
완속,대림 샹그레빌,서울특별시 성북구 회기로5길 100 
급속,금호어울림 센터힐 아파트,서울특별시 성북구 돈암동 동소문로34길 73
급속,종암삼성래미안,서울특별시 성북구 종암로25길 30 
완속,강북성북지사,서울특별시 강북구 도봉로 242
완속,미아동부센트레빌,서울특별시 강북구 미아동 숭인로7가길 37
급속,정릉e편한세상 아파트,서울특별시 성북구 정릉동 솔샘로24길 15
급속,해모로아파트,서울특별시 강북구 오현로 156 
완속,효성네오인텔리안,서울특별시 강북구 도봉로 352
급속,래미안미아1차 아파트,서울특별시 강북구 미아동 삼양로 256
급속,돈암일신건영휴먼빌 아파트,서울특별시 성북구 돈암동 아리랑로 89
급속,정릉2차 e편한세상 아파트,서울특별시 성북구 정릉동 북악산로 851
완속,미아한일유앤아이APT,서울특별시 강북구 월계로21가길 41
급속,동일하이빌뉴시티 아파트,서울특별시 성북구 하월곡동 종암로 167
급속,성북동아에코빌아파트,서울특별시 성북구 장월로1길 28
급속,한신휴아파트,서울특별시 성북구 동소문동7가 동소문로15길 99
급속,삼선푸르지오 아파트,서울특별시 성북구 보문로29다길 31 
완속,보문하우스토리,서울특별시 성북구 보문동4가 인촌로2길 37
급속,삼선 SK뷰 아파트,서울특별시 성북구 삼선교로16길 35 
급속,대림 샹그레빌,서울특별시 성북구 회기로5길 100 
급속,길음래미안3차,서울특별시 성북구 길음로 16
급속,돈암더샵아파트,서울특별시 성북구 아리랑로5길 85
완속,돈암일신건영휴먼빌 아파트,서울특별시 성북구 돈암동 아리랑로 89
급속,북서울꿈의숲,서울특별시 강북구 월계로 173 
급속,현대백화점 미아점,서울특별시 성북구 동소문로 315 
급속,강북문화예술회관,서울특별시 강북구 삼각산로 85 
급속,서울전력관리처,서울특별시 중구 퇴계로 140
완속,서울전력관리처,서울특별시 중구 퇴계로 140
